"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:GFS_SOO(12.0.0)","GHA.S1311B.G2M.G2_T.XDC.A","OBS_VALUE","Ghana","Budgetary central government","Expenditure","Expense, Transactions","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","712.3653","978.6583","1456.817408","1875.713086","2212.273634","2921.915559","4136.575547","6200.52334","6597.796462","9280.938302","12645.724165","20247.7209340365","24000.6897416493","28886.0546159468","31867.942056607","40162.9409764938","45609.218533799","54317.0828423901","62434.2705853899","85770.5635879325","95805.7384562843","139325.275443837","129999.380383033","",""
"IMF.STA:GFS_SOO(12.0.0)","GHA.S1311B.G2M.NNFAG_A_T.XDC.A","OBS_VALUE","Ghana","Budgetary central government","Expenditure","Gross investment in nonfinancial assets, Transactions","Domestic currency","Annual","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487.3931","299.1173","423.381076","727.752654","858.078815","1134.97524","1525.34255","1206.699731","2271.4","2892.896699","2632.596472","3229.17852039623","4791.2076914654","6095.69048450116","7133.55704046807","7678.09723596131","6331.41066449834","4738.33483447409","6151.8382130957","12082.8731310369","16967.0614334677","18688.712268038","21111.3","",""
"IMF.STA:GFS_SOO(12.0.0)","AGO.S1311B.G2M.NNFAG_A_T.XDC.A","OBS_VALUE","Angola","Budgetary central government","Expenditure","Gross investment in nonfinancial assets, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.103387032","4.279424091","11.284617969","27.486755445","194.348","35.483680452","93.85621279","322.979","530.29","891.634","476.029","654.581","762.719","828.285","1532.68","1905.95604600323","568.38065338749","633.34375945618","1311.29191112013","1174.34403315919","1082.04085826204","3452.5350125598","2385.36331846107","3138.71324179286","2924.63130237804","3452.5350125598",""
"IMF.STA:GFS_SOO(12.0.0)","AGO.S1311B.G2M.G2_T.XDC.A","OBS_VALUE","Angola","Budgetary central government","Expenditure","Expense, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.374521503","20.010727422","57.193227496","140.549","344.239","317.673","671.073","801.229","1042.47","1487.15","1422.25","1975.41","2800.74","2866.73","3722.21","4006.0051200815","2904.28759350988","2898.10421350256","3377.95517268729","4030.98772496379","6164.08083009678","16868.5101127027","9555.91747911778","12783.9910729517","15168.4599451601","16868.5101127027",""
